Region Zip Code,Small Facilities,Medium Facilities,Large Facilities
10001,-0.0,-0.0,2.0
10002,-0.0,-0.0,3.0
10003,-0.0,-0.0,4.0
10004,1.0,-0.0,1.0
10005,0.0,0.0,2.0
10006,1.0,-0.0,-0.0
10007,-0.0,-0.0,2.0
10009,0.0,0.0,5.0
10010,0.0,0.0,5.0
10011,-0.0,-0.0,3.0
10012,-0.0,-0.0,2.0
10013,-0.0,-0.0,4.0
10014,-0.0,-0.0,2.0
10016,0.0,0.0,6.0
10017,0.0,0.0,1.0
10019,-0.0,-0.0,3.0
10021,0.0,0.0,6.0
10022,1.0,0.0,4.0
10023,0.0,0.0,11.0
10024,0.0,0.0,14.0
10025,-0.0,-0.0,13.0
10026,0.0,0.0,6.0
10027,-0.0,-0.0,9.0
10028,1.0,-0.0,5.0
10029,-0.0,-0.0,10.0
10030,-0.0,-0.0,5.0
10031,-0.0,-0.0,6.0
10032,-0.0,-0.0,5.0
10033,-0.0,-0.0,8.0
10034,-0.0,-0.0,6.0
10035,-0.0,-0.0,6.0
10036,0.0,0.0,2.0
10037,-0.0,-0.0,3.0
10038,-0.0,-0.0,2.0
10039,-0.0,-0.0,5.0
10040,-0.0,-0.0,4.0
10044,-0.0,-0.0,3.0
10065,-0.0,-0.0,7.0
10069,0.0,1.0,2.0
10075,-0.0,-0.0,4.0
10128,1.0,-0.0,9.0
10280,1.0,0.0,1.0
10282,1.0,-0.0,1.0
10301,-0.0,-0.0,8.0
10302,-0.0,-0.0,4.0
10303,0.0,0.0,3.0
10304,-0.0,-0.0,5.0
10305,-0.0,-0.0,5.0
10306,-0.0,-0.0,8.0
10307,-0.0,1.0,3.0
10308,1.0,-0.0,3.0
10309,1.0,-0.0,6.0
10310,-0.0,-0.0,6.0
10312,-0.0,-0.0,11.0
10314,-0.0,-0.0,17.0
10451,-0.0,-0.0,8.0
10452,-0.0,-0.0,9.0
10453,-0.0,-0.0,10.0
10454,-0.0,-0.0,6.0
10455,-0.0,-0.0,5.0
10456,-0.0,-0.0,14.0
10457,-0.0,-0.0,14.0
10458,-0.0,-0.0,12.0
10459,-0.0,-0.0,9.0
10460,-0.0,-0.0,8.0
