zip_code,-5,5-9,10-14,2w-12yrs,employment rate,average income,high_demand,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,2w_5yr_cap,2w_12yr_cap
10001,744,784,942,2093,0.5950970226633091,102878.03360298694,0,0,0,0,585,24,10,609
10002,2142,3046,3198,7106,0.5206618050654748,59604.04116465864,1,0,0,18,4508,203,102,4729
10003,1440,1034,953,3045,0.4972437218107912,114273.04964539009,0,0,0,0,1995,0,0,1995
10004,433,182,161,711,0.5066608429788163,132004.3103448276,0,0,0,0,263,0,0,263
10005,484,204,229,825,0.6658334280195433,121437.7133105802,1,0,0,0,39,0,0,39
10006,128,96,75,269,0.6316916488222698,126377.1186440678,1,0,0,14,142,0,14,156
10007,605,451,290,1230,0.528910205169198,138853.90428211587,0,0,0,0,284,0,0,284
10009,1896,1658,1835,4655,0.5145674278475812,77133.23353293413,0,0,0,18,1660,106,62,1784
10010,1422,1592,948,3582,0.4927491514964517,116272.69881026926,0,0,0,0,234,0,0,234
10011,1209,1200,1364,3227,0.5569999212164185,120420.79207920792,0,0,0,42,1908,6,44,1956
10012,613,161,407,1018,0.5382730015082956,111131.78633975482,0,0,0,0,6,18,7,24
10013,1249,1108,1376,3182,0.4861983499134213,106023.04469273744,0,0,0,0,423,12,5,435
10014,708,422,735,1571,0.6086012015885408,124233.12883435584,1,0,0,71,1640,0,71,1711
10016,1798,1261,1410,3905,0.5652117934852582,109298.7308818744,0,0,0,0,811,12,5,823
10017,193,177,232,509,0.7773022228358415,118061.72291296624,1,0,0,0,107,0,0,107
10019,1099,728,442,2092,0.6170789879811065,107014.96779082986,1,0,0,0,543,48,20,591
10021,1787,1174,2294,4337,0.5418040450765218,124193.91462306994,0,0,0,0,460,0,0,460
10022,1228,926,1081,2802,0.5698803072708867,124320.79414838034,0,0,0,0,4,12,5,16
10023,3548,2435,2196,7300,0.5057376799683438,121776.25639482395,0,0,0,0,1081,18,7,1099
10024,4221,2929,2840,8854,0.4603816866855704,118313.14878892733,0,0,0,15,1138,90,52,1243
10025,4499,3510,3608,10173,0.4391264898750361,93258.39398919934,0,0,0,91,2278,184,167,2553
10026,2222,1962,2162,5481,0.4513262772768849,65380.71800810655,0,0,0,18,1340,348,163,1706
10027,3636,3108,3518,8854,0.3941889797282922,61675.983037779486,0,0,0,0,3408,350,145,3758
10028,1719,2175,1674,4898,0.5260625150381696,117822.24532224532,0,0,0,36,288,24,46,348
